CustomerID,Recency,Frequency,Monetary,RFM_score,Segment,Cluster_Name
12346.0,324,1,77183.6,114,Lost Customers,Champions
12347.0,1,7,4310.0,444,Champions,General Customers
12348.0,74,4,1797.24,234,Loyal Customers,General Customers
12349.0,17,1,1757.55,314,Lost Customers,General Customers
12350.0,309,1,334.4,112,Lost Customers,General Customers
12352.0,35,8,2506.04,344,Champions,General Customers
12353.0,203,1,89.0,111,Lost Customers,General Customers
12354.0,231,1,1079.4,113,Lost Customers,General Customers
12355.0,213,1,459.4,112,Lost Customers,General Customers
12356.0,21,3,2811.43,334,Champions,General Customers
12357.0,32,1,6207.67,314,Lost Customers,General Customers
12358.0,0,2,1168.06,423,Potential Loyalists,General Customers
12359.0,56,4,6310.03,234,Loyal Customers,General Customers
12360.0,51,3,2662.06,234,Loyal Customers,General Customers
12361.0,286,1,189.9,111,Lost Customers,General Customers
12362.0,2,10,5226.23,444,Champions,Champions
12363.0,108,2,552.0,222,Lost Customers,General Customers
12364.0,6,4,1313.1,433,Champions,General Customers
12365.0,290,2,641.38,122,At Risk,General Customers
12367.0,3,1,168.9,411,Lost Customers,General Customers
12370.0,50,4,3541.94,234,Loyal Customers,General Customers
12371.0,43,2,1887.96,324,Potential Loyalists,General Customers
12372.0,70,3,1298.04,233,Loyal Customers,General Customers
12373.0,310,1,364.6,112,Lost Customers,General Customers
12374.0,24,1,742.9300000000001,313,Lost Customers,General Customers
12375.0,9,2,457.5,422,Potential Loyalists,General Customers
12377.0,314,2,1628.12,123,At Risk,General Customers
12378.0,128,1,4008.62,214,Lost Customers,General Customers
12379.0,80,2,852.24,223,Lost Customers,General Customers
12380.0,20,4,2724.81,334,Champions,General Customers
12381.0,3,5,1845.31,434,Champions,General Customers
12383.0,183,5,1850.56,134,At Risk,General Customers
12384.0,27,2,585.27,322,Potential Loyalists,General Customers
12386.0,336,2,401.9,122,At Risk,General Customers
12388.0,14,6,2780.66,444,Champions,General Customers
12390.0,78,1,549.84,212,Lost Customers,General Customers
12391.0,20,1,439.66,312,Lost Customers,General Customers
12393.0,71,4,1582.6000000000001,233,Loyal Customers,General Customers
12394.0,62,2,1272.48,223,Lost Customers,General Customers
12395.0,18,12,3018.63,344,Champions,General Customers
12397.0,34,2,2409.9,324,Potential Loyalists,General Customers
12398.0,44,1,1635.6599999999999,313,Lost Customers,General Customers
