Cohort,CohortIndex,Retention
2010-12,0,1.0
2011-01,0,1.0
2011-02,0,1.0
2011-03,0,1.0
2011-04,0,1.0
2011-05,0,1.0
2011-06,0,1.0
2011-07,0,1.0
2011-08,0,1.0
2011-09,0,1.0
2011-10,0,1.0
2011-11,0,1.0
2011-12,0,1.0
2010-12,1,0.366
2011-01,1,0.221
2011-02,1,0.187
2011-03,1,0.15
2011-04,1,0.213
2011-05,1,0.19
2011-06,1,0.174
2011-07,1,0.181
2011-08,1,0.207
2011-09,1,0.234
2011-10,1,0.24
2011-11,1,0.111
2010-12,2,0.323
2011-01,2,0.266
2011-02,2,0.187
2011-03,2,0.252
2011-04,2,0.203
2011-05,2,0.173
2011-06,2,0.157
2011-07,2,0.207
2011-08,2,0.249
2011-09,2,0.301
2011-10,2,0.115
2010-12,3,0.384
2011-01,3,0.23
2011-02,3,0.284
2011-03,3,0.199
2011-04,3,0.21
2011-05,3,0.173
2011-06,3,0.264
2011-07,3,0.223
2011-08,3,0.243
2011-09,3,0.114
2010-12,4,0.363
2011-01,4,0.321
2011-02,4,0.271
2011-03,4,0.223
2011-04,4,0.197
2011-05,4,0.208
2011-06,4,0.231
2011-07,4,0.271
2011-08,4,0.124
2010-12,5,0.398
2011-01,5,0.288
2011-02,5,0.247
2011-03,5,0.168
2011-04,5,0.227
2011-05,5,0.232
2011-06,5,0.335
2011-07,5,0.112
2010-12,6,0.363
2011-01,6,0.247
2011-02,6,0.253
2011-03,6,0.268
2011-04,6,0.217
2011-05,6,0.264
2011-06,6,0.095
2010-12,7,0.349
2011-01,7,0.242
2011-02,7,0.279
2011-03,7,0.23
2011-04,7,0.26
2011-05,7,0.095
2010-12,8,0.354
2011-01,8,0.3
2011-02,8,0.247
2011-03,8,0.279
2011-04,8,0.073
2010-12,9,0.395
2011-01,9,0.326
2011-02,9,0.305
2011-03,9,0.086
2010-12,10,0.374
2011-01,10,0.365
2011-02,10,0.068
2010-12,11,0.503
2011-01,11,0.118
2010-12,12,0.266
