CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment,ClusterSegment
12346,324,1,77183.6,1,1,4,114,Lost Customers,Champions
12347,1,7,4310.0,4,4,4,444,Champions,General Customers
12348,74,4,1797.24,2,3,4,234,Loyal Customers,General Customers
12349,17,1,1757.55,3,1,4,314,Lost Customers,General Customers
12350,309,1,334.4,1,1,2,112,Lost Customers,General Customers
12352,35,8,2506.04,3,4,4,344,Champions,General Customers
12353,203,1,89.0,1,1,1,111,Lost Customers,General Customers
12354,231,1,1079.4,1,1,3,113,Lost Customers,General Customers
12355,213,1,459.4,1,1,2,112,Lost Customers,General Customers
12356,21,3,2811.43,3,3,4,334,Champions,General Customers
12357,32,1,6207.67,3,1,4,314,Lost Customers,General Customers
12358,0,2,1168.06,4,2,3,423,Potential Loyalists,General Customers
12359,56,4,6310.03,2,3,4,234,Loyal Customers,General Customers
12360,51,3,2662.06,2,3,4,234,Loyal Customers,General Customers
12361,286,1,189.9,1,1,1,111,Lost Customers,General Customers
12362,2,10,5226.23,4,4,4,444,Champions,Champions
12363,108,2,552.0,2,2,2,222,Lost Customers,General Customers
12364,6,4,1313.1,4,3,3,433,Champions,General Customers
12365,290,2,641.38,1,2,2,122,At Risk,General Customers
12367,3,1,168.9,4,1,1,411,Lost Customers,General Customers
12370,50,4,3541.94,2,3,4,234,Loyal Customers,General Customers
12371,43,2,1887.96,3,2,4,324,Potential Loyalists,General Customers
12372,70,3,1298.04,2,3,3,233,Loyal Customers,General Customers
12373,310,1,364.6,1,1,2,112,Lost Customers,General Customers
12374,24,1,742.9300000000001,3,1,3,313,Lost Customers,General Customers
12375,9,2,457.5,4,2,2,422,Potential Loyalists,General Customers
12377,314,2,1628.12,1,2,3,123,At Risk,General Customers
12378,128,1,4008.62,2,1,4,214,Lost Customers,General Customers
12379,80,2,852.24,2,2,3,223,Lost Customers,General Customers
12380,20,4,2724.81,3,3,4,334,Champions,General Customers
12381,3,5,1845.31,4,3,4,434,Champions,General Customers
12383,183,5,1850.56,1,3,4,134,At Risk,General Customers
12384,27,2,585.27,3,2,2,322,Potential Loyalists,General Customers
12386,336,2,401.9,1,2,2,122,At Risk,General Customers
12388,14,6,2780.66,4,4,4,444,Champions,General Customers
12390,78,1,549.84,2,1,2,212,Lost Customers,General Customers
12391,20,1,439.66,3,1,2,312,Lost Customers,General Customers
12393,71,4,1582.6000000000001,2,3,3,233,Loyal Customers,General Customers
12394,62,2,1272.48,2,2,3,223,Lost Customers,General Customers
12395,18,12,3018.63,3,4,4,344,Champions,General Customers
12397,34,2,2409.9,3,2,4,324,Potential Loyalists,General Customers
12398,44,1,1635.6599999999999,3,1,3,313,Lost Customers,General Customers
12399,118,4,1108.65,2,3,3,233,Loyal Customers,General Customers
12401,302,1,84.3,1,1,1,111,Lost Customers,General Customers
12402,322,1,225.6,1,1,1,111,Lost Customers,General Customers
12403,48,1,427.7,3,1,2,312,Lost Customers,General Customers
12405,147,1,1710.39,1,1,4,114,Lost Customers,General Customers
12406,21,2,3415.3,3,2,4,324,Potential Loyalists,General Customers
12407,48,5,1708.1200000000001,3,3,4,334,Champions,General Customers
12408,31,5,2888.55,3,3,4,334,Champions,General Customers
12409,77,3,11072.67,2,3,4,234,Loyal Customers,Champions
12410,307,2,693.3299999999999,1,2,3,123,At Risk,General Customers
12412,73,3,1226.88,2,3,3,233,Loyal Customers,General Customers
12413,65,3,758.1,2,3,3,233,Loyal Customers,General Customers
12414,216,3,562.41,1,3,2,132,At Risk,General Customers
12415,23,21,124914.53,3,4,4,344,Champions,Champions
12417,2,9,3649.1,4,4,4,444,Champions,General Customers
12418,111,1,668.58,2,1,3,213,Lost Customers,General Customers
12420,62,1,600.39,2,1,2,212,Lost Customers,General Customers
12421,14,4,807.04,4,3,3,433,Champions,General Customers
12422,94,3,803.5600000000001,2,3,3,233,Loyal Customers,General Customers
12423,-1,8,1859.31,4,4,4,444,Champions,General Customers
12424,161,2,1760.96,1,2,4,124,At Risk,General Customers
12425,77,1,777.2,2,1,3,213,Lost Customers,General Customers
12426,193,1,582.73,1,1,2,112,Lost Customers,General Customers
12427,20,3,825.8,3,3,3,333,Champions,General Customers
